BOAT 663381 224128 0 0 14000 10 4 30 255 153 153 "Bjarni Sæmundsson"
STAT 619 15 0 660494 195414 660874 195122 89 18  #  _  
STAT 619 3 0 661361 194544 661503 193631 414 21  #  Veiðarfæri var netadræsa_  
STAT 619 1 0 662290 194629 661901 194690 335 20  #  _  
STAT 620 11 0 661717 195968 661318 195997 594 17  #  _Endurtekið tog. Rifið í fyrri tilraun  
STAT 620 12 0 661999 201813 662389 201990 535 15  #  _  
STAT 620 1 0 661508 203878 661110 203811 416 21  #  _  
STAT 570 11 0 655920 204467 655541 204773 290 15  #  _  
STAT 570 2 0 655892 203581 655522 203226 96 16  #  Mjög mikill krossfiskur_  
STAT 570 1 0 654819 203336 654435 203095 159 14  #  Slatti af krossfisk_  
STAT 571 11 0 653693 210141 653507 210318 31 14  #  Mjög mikill þari; Mikill þari_Togi hnikað til austurs vegna mikils þara  
STAT 521 36 0 652640 210125 652447 210009 145 12  #  Mikil drulla; Gúmmídrasl var dekk_  
STAT 521 35 0 652364 210868 652594 210831 7 10  #  Allskonar þari_  
STAT 571 35 0 653991 212232 653990 212084 220 17  #  _Hringtog  
STAT 571 1 0 655474 210573 655740 205846 1802 22  #  _  
STAT 621 13 0 660480 211420 660876 211484 683 13  #  _  
STAT 621 12 0 661441 210895 661662 211610 552 15  #  _Híft eftir 3,66 sérist upp vængi  
STAT 621 11 0 661985 210292 661644 210301 531 17  #  _  
STAT 620 2 0 662473 204809 662870 204808 155 20  #  _  
STAT 670 15 0 663002 204202 663400 204300 402 29  #  _híft eftir 3,4 snúinn leggur  
STAT 621 1 0 662703 210585 663050 210094 771 20  #  _  
STAT 621 4 0 662032 212054 662390 212484 372 14  #  Talsvert af svampi_  
STAT 621 2 0 662838 211981 662475 211588 742 20  #  Töluvert af svömpum og stóru grjóti_  
PORT 660489 230673 "Ísafjörður" 1
STAT 624 5 0 660810 241262 660421 241466 1699 10  #  _  
STAT 573 11 0 654911 235448 655235 240013 319 10  #  _  
STAT 574 36 0 654050 241705 653931 241043 86 9  #  Mikið af krossfisk_  
STAT 574 15 0 653905 241106 654213 240716 191 9  #  _  
STAT 523 35 0 651751 234491 651628 234990 995 11  #  _  
STAT 523 36 0 651901 233575 652047 233092 995 11  #  _  
STAT 523 37 0 651427 232828 651262 233271 727 10  #  _  
STAT 523 31 0 651247 231569 651092 232436 546 16  #  _  
STAT 523 1 0 650329 233053 650236 233969 966 21  #  _  
STAT 523 12 0 650047 234252 650003 235184 628 21  #  Mikið af krossfiskur, ígulkerum og fl._  
STAT 473 2 0 650029 235012 645886 235565 217 24  #  _Rifnaði eftir 2,3 sml  
STAT 523 38 0 650895 235605 650793 240519 854 12  #  _  
STAT 524 2 0 650139 242608 650226 243523 746 15  #  _  
STAT 474 2 0 645619 244764 645482 245647 351 18  #  _Híft vegna línu frá línubát sem lá í toginu  
STAT 474 12 0 645138 241148 644815 241687 1382 24  #  _  
PORT 640278 220834 "Hafnarfjörður" 1
BOAT 640753 221214 0 0 45000 10 4 30 153 153 255 "Árni Friðriksson"
STAT 472 11 0 643477 224880 643838 224493 96 12  #  _  
STAT 473 1 0 643451 230243 643082 230583 1147 13  #  _  
STAT 473 11 0 643510 234459 643651 233612 398 15  #  _  
STAT 474 1 0 643122 242193 642942 242987 7547 17  #  _  
STAT 474 13 0 643342 242979 643535 243772 740 20  #  _  
STAT 474 11 0 643716 243203 643571 244043 382 21  #  _  
STAT 475 13 0 643972 251355 644119 250496 327 18  #  _  
STAT 475 2 0 644613 252694 644452 253542 423 18  #  _  
STAT 475 11 0 645033 254806 644655 254528 606 18  #  _  
STAT 475 1 0 644198 254714 644050 255576 1050 19  #  _  
