SHIP 663381 224128 640278 220834 25000 10 5 30 255 153 153 "Bjarni_Sæmundsson"
STAT 671 5 -3 663615 215451 663716 214461 2215 #
STAT 617 36 -4 660198 173574 660237 173100 93 # 118  mín frá ( 617-1-3 )\\
STAT 617 13 -4 661077 172221 661461 171929 880 # 148  mín frá ( 617-36-4 )\\
STAT 616 11 -1 661578 164824 661851 164106 465 # 179  mín frá ( 617-13-4 )\\
STAT 616 1 -1 662176 164203 662573 164279 1248 # 108  mín frá ( 616-11-1 )\\
STAT 617 3 -1 662697 172607 662697 173600 611 # 178  mín frá ( 616-1-1 )\\
STAT 617 12 -2 661918 172988 661519 172995 322 # 134  mín frá ( 617-3-1 )\\
STAT 617 2 -1 662034 174248 662393 174674 850 # 135  mín frá ( 617-12-2 )\\
STAT 618 14 -1 662233 184857 662553 185455 110 # 240  mín frá ( 617-2-1 )\\
STAT 619 4 -2 662403 190492 662013 190310 1681 # 126  mín frá ( 618-14-1 )\\
STAT 619 12 -4 661511 190882 661115 190996 1044 # 113  mín frá ( 619-4-2 )\\
STAT 619 14 -2 661996 191414 662004 192409 1768 # 142  mín frá ( 619-12-4 )\\
STAT 619 2 -1 661773 193710 662169 193781 2239 # Rusl var skrifborðsstóll\\  \\ 128  mín frá ( 619-14-2 )\\
STAT 619 11 -3 660746 193790 660525 194603 244 # 191  mín frá ( 619-2-1 )\\
STAT 619 13 -3 660317 194755 660009 195380 673 # 98  mín frá ( 619-11-3 )\\
STAT 569 11 -1 655981 195001 655602 194705 242 # 99  mín frá ( 619-13-3 )\\
STAT 569 35 -1 655711 193352 655449 193000 324 # 156  mín frá ( 569-11-1 )\\
STAT 619 15 -3 660912 195073 660532 195373 345 # 285  mín frá ( 569-35-1 )\\
STAT 619 3 -3 661364 194555 661497 193630 346 # Veiðarfæri var netadræsa\\  \\ 264  mín frá ( 619-15-3 )\\
STAT 619 1 -1 662296 194632 661900 194701 675 # 209  mín frá ( 619-3-3 )\\
STAT 620 11 -3 661717 195968 661318 195997 1028 # 126  mín frá ( 619-1-1 )\\
STAT 620 12 -2 662432 202038 662042 201827 1066 # 206  mín frá ( 620-11-3 )\\
STAT 620 1 -3 661508 203877 661110 203810 329 # 147  mín frá ( 620-12-2 )\\
STAT 570 11 -1 655920 204467 655541 204773 734 # 157  mín frá ( 620-1-3 )\\
STAT 570 2 -1 655878 203579 655511 203207 331 # Mjög mikill krossfiskur\\  \\ 131  mín frá ( 570-11-1 )\\
STAT 570 1 -1 654852 203325 654465 203120 270 # Slatti af krossfisk\\  \\ 114  mín frá ( 570-2-1 )\\
STAT 571 11 -2 653693 210141 653507 210318 171 # Mjög mikill þari\\  \\ 174  mín frá ( 570-1-1 )\\
STAT 521 36 -2 652642 210117 652449 210006 280 # Gúmmídrasl var dekk\\  \\ 98  mín frá ( 571-11-2 )\\
STAT 521 35 -2 652364 210867 652594 210831 303 # Allskonar þari\\  \\ 115  mín frá ( 521-36-2 )\\
STAT 571 35 -4 653987 212244 653991 212071 431 # 187  mín frá ( 521-35-2 )\\
STAT 571 1 -2 655725 205883 655463 210618 979 # 246  mín frá ( 571-35-4 )\\
